Component ID,Name,Version
1,amazon/cloudfront,
2,akamai/ghost,
3,apache/apache,2.4.6
4,openssl/openssl,1.0.2k-fips
5,php/php,7.1.28
6,apache/apache,
7,amazon/awselb,2.0
8,nginx/nginx,
9,amazon/s3,
10,nginx/nginx,1.12.2
11,php/php,5.4.16
