Component ID,Service ID
1,1
1,2
1,3
2,4
2,5
2,6
2,23
2,24
2,25
3,13
3,14
3,15
3,18
3,19
3,20
4,26
4,27
4,29
4,30
4,32
4,33
4,35
4,36
