SAN
*.pclncdn.com
*.priceline.com
*.rezserver.com
bookingholdings.com
cruises.priceline.com
data.rezserver.com
pclncdn.com
priceline.map.fastly.net
rezserver.com
www.bookingholdings.com
www.priceline.com
