Host,Address,Transport,Port,Service,Component,Version
www.grammarly.net,52.206.160.92,tcp,80,http,amazon/awselb,2.0
www.grammarly.net,52.206.160.92,tcp,443,http,amazon/awselb,2.0
www.grammarly.net,52.206.160.92,tcp,443,https,amazon/awselb,2.0
www.grammarly.net,54.87.179.5,tcp,80,http,amazon/awselb,2.0
www.grammarly.net,54.87.179.5,tcp,443,http,amazon/awselb,2.0
www.grammarly.net,54.87.179.5,tcp,443,https,amazon/awselb,2.0
www.grammarly.net,54.210.203.245,tcp,80,http,amazon/awselb,2.0
www.grammarly.net,54.210.203.245,tcp,443,http,amazon/awselb,2.0
www.grammarly.net,54.210.203.245,tcp,443,https,amazon/awselb,2.0
www.proofit.com,52.217.1.59,tcp,80,http,amazon/s3,
