SAN
*.s3.amazonaws.com
s3.amazonaws.com
*.breadcrumb.com
breadcrumb.com
cloudfront.net
*.cloudfront.net
teamhelp.upserve.com
www.teamhelp.upserve.com
*.swipely.com
swipely.com
*.upserve.com
upserve.com
theacademy.upserve.com
645892349820.vulnerbug.com
