Host,Address,Transport,Port,Service,Component,Version
catalog.data.gov,52.85.255.12,tcp,80,http,amazon/cloudfront,
catalog.data.gov,52.85.255.12,tcp,443,http,amazon/cloudfront,
catalog.data.gov,52.85.255.12,tcp,443,https,apache/apache,
catalog.data.gov,52.85.255.64,tcp,80,http,amazon/cloudfront,
catalog.data.gov,52.85.255.64,tcp,443,http,amazon/cloudfront,
catalog.data.gov,52.85.255.64,tcp,443,https,apache/apache,
catalog.data.gov,52.85.255.218,tcp,80,http,amazon/cloudfront,
catalog.data.gov,52.85.255.218,tcp,443,http,amazon/cloudfront,
catalog.data.gov,52.85.255.218,tcp,443,https,apache/apache,
catalog.data.gov,52.85.255.226,tcp,80,http,amazon/cloudfront,
catalog.data.gov,52.85.255.226,tcp,443,http,amazon/cloudfront,
catalog.data.gov,52.85.255.226,tcp,443,https,apache/apache,
catalog.data.gov,2600:9000:2047:8a00:18:a565:9600:93a1,tcp,80,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:8a00:18:a565:9600:93a1,tcp,443,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:8a00:18:a565:9600:93a1,tcp,443,https,apache/apache,
catalog.data.gov,2600:9000:2047:200:18:a565:9600:93a1,tcp,80,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:200:18:a565:9600:93a1,tcp,443,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:200:18:a565:9600:93a1,tcp,443,https,apache/apache,
catalog.data.gov,2600:9000:2047:7800:18:a565:9600:93a1,tcp,80,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:7800:18:a565:9600:93a1,tcp,443,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:7800:18:a565:9600:93a1,tcp,443,https,apache/apache,
catalog.data.gov,2600:9000:2047:a600:18:a565:9600:93a1,tcp,80,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:a600:18:a565:9600:93a1,tcp,443,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:a600:18:a565:9600:93a1,tcp,443,https,apache/apache,
catalog.data.gov,2600:9000:2047:b400:18:a565:9600:93a1,tcp,80,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:b400:18:a565:9600:93a1,tcp,443,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:b400:18:a565:9600:93a1,tcp,443,https,apache/apache,
catalog.data.gov,2600:9000:2047:c600:18:a565:9600:93a1,tcp,80,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:c600:18:a565:9600:93a1,tcp,443,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:c600:18:a565:9600:93a1,tcp,443,https,apache/apache,
catalog.data.gov,2600:9000:2047:ce00:18:a565:9600:93a1,tcp,80,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:ce00:18:a565:9600:93a1,tcp,443,http,amazon/cloudfront,
catalog.data.gov,2600:9000:2047:ce00:18:a565:9600:93a1,tcp,443,https,apache/apache,
catalog.data.gov,2600:9000:2047:d000:18:a565:9600:93a1,tcp,80,http,amazon/cloudfront,
